"Indicação de data e hora","Você utiliza um smartphone ou tablet Android","Você possui algum animal doméstico","Você tem ou já teve intençção de adotar algum animal","Você já perdeu algum animal?","Você usaria um sistema ou aplicativo de busca/adoção de animais?"
"2016/08/12 10:25:32 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:25:38 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:25:44 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:25:58 PM GMT-3","Sim","Cachorro","Não","Sim","Talvez"
"2016/08/12 10:26:02 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/12 10:26:14 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:26:19 PM GMT-3","Sim","Outro","Sim","Sim","Sim"
"2016/08/12 10:26:29 PM GMT-3","Não","Não tenho","Não","Não","Talvez"
"2016/08/12 10:26:33 PM GMT-3","Sim","Não tenho","Não","Sim","Talvez"
"2016/08/12 10:26:44 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:26:58 PM GMT-3","Sim","Não tenho","Não","Sim","Sim"
"2016/08/12 10:27:11 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:27:19 PM GMT-3","Sim","Não tenho","Sim","Sim","Talvez"
"2016/08/12 10:27:31 PM GMT-3","Sim","Outro","Não","Não","Sim"
"2016/08/12 10:27:31 PM GMT-3","Não","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:27:44 PM GMT-3","Sim","Não tenho","Não","Não","Não"
"2016/08/12 10:27:44 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:27:54 PM GMT-3","Sim","Gato","Sim","Sim","Sim"
"2016/08/12 10:27:54 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:28:05 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:28:06 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
